informativity,stimulus_type,session
3,plot,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
2,plot,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
2,plot,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
2,plot,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
2,plot,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
2,plot,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
5,text,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
5,text,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
5,text,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
5,text,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
4,text,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
5,text,fRWeEdsUFdCqnBpdzup4C_bk6zQnFkJV1Aj15z-iDe6PiaUS3OcAe-ZM_nhP8gpp
4,plot,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
4,plot,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
4,plot,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
4,plot,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
4,plot,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
4,plot,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
3,text,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
3,text,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
3,text,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
3,text,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
3,text,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
3,text,Hl80glmbOEFk5XiUe1UtMJjzrovmmC2-AfALl_L-SVwoSdYgpvuLjDUAXBDdzgSM
5,plot,AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt
5,plot,AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt
5,plot,AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt
5,plot,AodAMd1LNKH5jvTImU5GQ6s9wqCJKOLQUEA9p9M6Pxv0b3HFDWl02RhHoMfS0yOt
